Usuário;Computador;Ordem;Cod. Projeto;Cod. Lote;Cod. Pasta;Projeto;Lote;Pasta;Fase;Fase Destino;Imgs. Antes;Imgs. Depois;Docs. Antes;Docs. Depois;Início;Término;Tempo Gasto;Local;
Rillary;SCANNER-1;57298;45;2;258;2024;09;AG_DOSSIE_0582;Digitalização (Scanner);;0;1305;0;0;10/1/2024 10:14:29;10/1/2024 10:40:17;00:25:48;Local Padrão;
jordana;ADMIN-1;57301;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);Digitalização (Scanner);0;0;0;0;10/1/2024 10:56:09;10/1/2024 10:56:09;00:00:00;Local Padrão;
Rillary;SCANNER-1;57302;45;2;259;2024;09;AG_DOSSIE_0577;Digitalização (Scanner);;0;1518;0;0;10/1/2024 10:43:20;10/1/2024 11:12:22;00:29:02;Local Padrão;
Rillary;SCANNER-1;57304;45;2;260;2024;09;AG_DOSSIE_0371;Digitalização (Scanner);;0;1632;0;0;10/1/2024 11:13:50;10/1/2024 13:01:39;01:47:49;Local Padrão;
Rillary;SCANNER-1;57306;45;2;262;2024;09;AG_DOSSIE_0597;Digitalização (Scanner);;0;1309;0;0;10/1/2024 13:01:53;10/1/2024 13:28:41;00:26:48;Local Padrão;
jordana;ADMIN-1;57315;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);Digitalização (Scanner);0;0;0;0;10/1/2024 14:09:36;10/1/2024 14:09:36;00:00:00;Local Padrão;
jordana;ADMIN-1;57319;45;2;247;2024;09;AG_DOSSIE_0494;Controle de Qualidade;Digitalização (Scanner);589;589;0;0;10/1/2024 14:15:47;10/1/2024 14:15:47;00:00:00;Local Padrão;
Rillary;SCANNER-1;57321;45;2;264;2024;09;AG_DOSSIE_0451;Digitalização (Scanner);;0;1498;0;0;10/1/2024 13:30:15;10/1/2024 14:26:51;00:56:36;Local Padrão;
Rillary;SCANNER-1;57325;45;2;267;2024;09;AG_DOSSIE_0640;Digitalização (Scanner);;0;1314;0;0;10/1/2024 14:30:18;10/1/2024 15:00:36;00:30:18;Local Padrão;
Rillary;SCANNER-1;57326;45;2;270;2024;09;AG_DOSSIE_0603;Digitalização (Scanner);;0;1666;0;0;10/1/2024 15:02:25;10/1/2024 15:03:42;00:01:17;Local Padrão;
